0,10466.64,200,10000,400,1,5300000,-11300000,7000,120000,1,1,0
1,10467.64,210,10010,410,1,5300900,-11300900,7090,120009,1,1,1
2,10468.64,220,10020,420,1,5301900,-11301900,7190,120019,1,1,1
3,10469.64,230,10030,430,1,5302900,-11302900,7290,120029,1,1,1
4,10470.64,240,10040,440,1,5303900,-11303900,7390,120039,1,1,1
5,10471.64,250,10050,450,1,5304900,-11304900,7490,120049,1,1,1
6,10472.64,260,10060,460,1,5305900,-11305900,7590,120059,1,1,1
0,10501.71,200,10000,400,1,5300000,-11300000,7000,120000,1,1,0
1,10502.71,210,10010,410,1,5300900,-11300900,7090,120009,1,1,1
2,10503.71,220,10020,420,1,5301900,-11301900,7190,120019,1,1,1
3,10504.71,230,10030,430,1,5302900,-11302900,7290,120029,1,1,1
4,10505.71,240,10040,440,1,5303900,-11303900,7390,120039,1,1,1
0,10593.19,200,10000,400,1,5300000,-11300000,7000,120000,1,1,0
1,10594.19,210,10010,410,1,5300900,-11300900,7090,120009,1,1,1
2,10595.19,220,10020,420,1,5301900,-11301900,7190,120019,1,1,1
3,10596.19,230,10030,430,1,5302900,-11302900,7290,120029,1,1,1
4,10597.19,240,10040,440,1,5303900,-11303900,7390,120039,1,1,1
5,10598.20,250,10050,450,1,5304900,-11304900,7490,120049,1,1,1
6,10599.19,260,10060,460,1,5305900,-11305900,7590,120059,1,1,1
7,10600.19,270,10070,470,1,5306900,-11306900,7690,120069,1,1,1
8,10601.19,280,10080,480,1,5307900,-11307900,7790,120079,1,1,1
9,10602.20,290,10090,490,1,5308900,-11308900,7890,120089,1,1,1
10,10603.19,300,10100,500,1,5309900,-11309900,7990,120099,1,1,1
11,10604.19,310,10110,510,1,5310900,-11310900,8090,1200109,1,1,1
0,10803.68,200,10000,400,1,5300000,-11300000,7000,120000,1,1,0
1,10804.68,210,10010,410,1,5300900,-11300900,7090,120009,1,1,1
2,10805.68,220,10020,420,1,5301900,-11301900,7190,120019,1,1,1
3,10806.68,230,10030,430,1,5302900,-11302900,7290,120029,1,1,1
4,10807.68,240,10040,440,1,5303900,-11303900,7390,120039,1,1,1
5,10808.68,250,10050,450,1,5304900,-11304900,7490,120049,1,1,1
6,10809.68,260,10060,460,1,5305900,-11305900,7590,120059,1,1,1
7,10810.68,270,10070,470,1,5306900,-11306900,7690,120069,1,1,1
8,10811.68,280,10080,480,1,5307900,-11307900,7790,120079,1,1,1
0,10950.47,200,10000,400,1,5300000,-11300000,7000,120000,1,1,0
1,10951.47,210,10010,410,1,5300900,-11300900,7090,120009,1,1,1
2,10952.47,220,10020,420,1,5301900,-11301900,7190,120019,1,1,1
3,10953.47,230,10030,430,1,5302900,-11302900,7290,120029,1,1,1
4,10954.47,240,10040,440,1,5303900,-11303900,7390,120039,1,1,1
5,10955.47,250,10050,450,1,5304900,-11304900,7490,120049,1,1,1
0,10971.28,200,10000,400,1,5300000,-11300000,7000,120000,1,1,0
1,10972.28,210,10010,410,1,5300900,-11300900,7090,120009,1,1,1
2,10973.28,220,10020,420,1,5301900,-11301900,7190,120019,1,1,1
3,10974.28,230,10030,430,1,5302900,-11302900,7290,120029,1,1,1
0,11256.71,200,10000,400,1,5300000,-11300000,7000,120000,1,1,0
1,11257.71,210,10010,410,1,5300900,-11300900,7090,120009,1,1,1
2,11258.71,220,10020,420,1,5301900,-11301900,7190,120019,1,1,1
3,11259.71,230,10030,430,1,5302900,-11302900,7290,120029,1,1,1
4,11260.71,240,10040,440,1,5303900,-11303900,7390,120039,1,1,1
0,11303.11,200,10000,400,1,5300000,-11300000,7000,120000,1,1,0
1,11304.11,210,10010,410,1,5300900,-11300900,7090,120009,1,1,1
2,11305.11,220,10020,420,1,5301900,-11301900,7190,120019,1,1,1
3,11306.11,230,10030,430,1,5302900,-11302900,7290,120029,1,1,1
4,11307.11,240,10040,440,1,5303900,-11303900,7390,120039,1,1,1
5,11308.11,250,10050,450,1,5304900,-11304900,7490,120049,1,1,1
6,11309.11,260,10060,460,1,5305900,-11305900,7590,120059,1,1,1
7,11310.11,270,10070,470,1,5306900,-11306900,7690,120069,1,1,1
8,11311.11,280,10080,480,1,5307900,-11307900,7790,120079,1,1,1
9,11312.11,290,10090,490,1,5308900,-11308900,7890,120089,1,1,1
0,11429.24,200,10000,400,1,5300000,-11300000,7000,120000,1,1,0
1,11430.24,210,10010,410,1,5300900,-11300900,7090,120009,1,1,1
2,11431.24,220,10020,420,1,5301900,-11301900,7190,120019,1,1,1
3,11432.24,230,10030,430,1,5302900,-11302900,7290,120029,1,1,1
